Ticker,Company_Name,Sector,Industry,P/E Ratio,Forward P/E Ratio,P/B Ratio,P/S Ratio,Price/Cash Flow Ratio,EPS (TTM),Forward EPS,ROE,ROA,Gross Margin,Net Profit Margin,Current Ratio,Quick Ratio,Debt-to-Equity Ratio,Interest Coverage Ratio,Asset Turnover Ratio,Inventory Turnover Ratio,Dividend Yield,Dividend Payout Ratio,Market Cap,52-Week High,52-Week Low,Last Quarter Revenue,Last Quarter Net Income,Last Quarter EPS
20MICRONS.NS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,13.653001,,2.1135414,0.944999,,16.83,,0.16825001,0.09557,0.46492,0.06922,1.752,0.783,34.138,,2.23633620927537,,0.0053,0.0743,8108131840,348,132,2401794000,164091000,
21STCENMGM.NS,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,1.5952004,,0.9956386,0.60307294,,56.67,,0.96726996,0.53249,0.42755002,0.37807998,14.294,9.597,,,1.65478655447377,,0.0276,0.044099998,949200000,141.4,29.85,140143000,24136000,
360ONE.NS,360 One Wam Limited,Financial Services,Asset Management,49.82619,39.15424,11.503574,13.526423,,24.74,31.77,0.25745,0.09399,0.70015997,0.26052,11.198,2.461,278.92,,0.918372869967711,,0.008,0.587,479567151104,1280.75,591.5,7205800000,2454900000,
3IINFOLTD.NS,3i Infotech Limited,Technology,Information Technology Services,,,1.7573633,0.6322929,,-809.32,,-0.40056,-0.0655,0.09036,-0.18441999,1.154,0.754,27.58,,2.79167435282543,,,,4846967808,63.9,25.23,1776000000,-43100000,
3MINDIA.NS,3M India Limited,Industrials,Conglomerates,57.545486,47.427876,16.09626,8.254878,,533.08,,,,0.40553,0.14604001,,,0.847,,1.94991410458357,,0.0046,0.4791,345572147200,40856.5,28498.95,11108030000,1337808000,
3PLAND.NS,3P Land Holdings Ltd,,,,,,,,,,,,,,,,,,,,,,,82.06,25.5,17370000,9550000,
5PAISA.NS,5paisa Capital Limited,Financial Services,Capital Markets,24.451094,30.319355,2.546023,3.7697592,,19.22,15.5,0.1168,0.03162,0.99966,0.16148001,7.028,6.995,29.297,,0.67735748881256,,,,14672215040,758.45,458,656856000,219011000,
63MOONS.NS,63 moons technologies limited,Technology,Software - Application,60.12909,,1.3144093,11.122786,,15.88,,,,0.51252,0.44103,,,0.179,,0.118195658877167,,0.0034,0.052800003,44020494336,1078.8,314.65,384313000,-188999000,
A2ZINFRA.NS,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,143.25,,12.545156,1.0706465,,0.16,,,,0.12818,-0.01273,,,948.741,,12.0733442802408,,,,4036670464,24.57,10.9,784096000,54079000,
AAATECH.NS,AAA Technologies Limited,Technology,Information Technology Services,37.402176,,4.7364078,5.522673,,2.76,,,,0.6931,0.14196,,,,,0.857994952970865,,0.0047,0.1884,1324110592,160.85,81.25,43726000,11499000,
AADHARHFC.NS,,Financial Services,Mortgage Finance,26.336634,15.839226,3.1053002,10.518193,,16.16,,0.16816,0.043319996,0.98120004,0.47839,35.655,35.121,248.777,,0.312164370768153,,,,183297409024,516.8,292,7216100000,2275100000,
AAKASH.NS,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services,1.7197345,,1.7941176,1.0506244,,6.03,,,,0.87749,0.06368,,,44.387,,1.71643598615917,,,,1049962496,17.15,8.25,230538000,1089000,
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,25.57522,,1.2212901,0.34753412,,2.26,,,,0.02987,0.01102,,,23.613,,3.81443996027638,,,,1638878464,74.8,37.35,1051436000,15965000,
AARON.NS,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,57.024673,,10.8186245,5.9476113,,6.89,,0.20387,0.097720005,0.33990002,0.10429,1.208,0.271,89.772,,1.8298868298593,,0.0029,0.1456,4114920192,417.35,242.1,182929000,18216000,
AARTECH.NS,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts,87.32608,,8.6424265,7.7397375,,0.92,,,,0.35029998,0.049039997,,,14.219,,1.12532271944923,,0.0042,0.3268,2552433920,87.4,43.833332,94061000,15109000,
AARTIDRUGS.NS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,25.561255,15.6870365,3.0262651,1.6245295,,16.57,,0.12241,0.061680004,0.33796,0.06397,1.608,0.914,46.181,,1.85614255705283,,0.0023,0.060399998,38657409024,635,419.55,5983300000,350100000,
AARTIIND.NS,Aarti Industries Limited,Basic Materials,Specialty Chemicals,33.346905,26.456753,2.7167964,2.1218176,,12.28,,0.08507,0.041500002,0.36303002,0.06366,0.889,0.309,71.339,,1.27904384690405,,0.0025,0.08140001,148470366208,769.25,402.1,16280000000,520000000,
AARTIPHARM.NS,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,22.980541,,2.8230686,2.6646962,,25.18,,0.12981,0.07967,0.43523,0.1159,2.014,0.795,20.815,,1.05969107975724,,0.0034999999,0.1192,52440735744,721.7,399.55,4580258000,546225000,
AARTISURF.NS,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,35.121414,,2.4733486,0.92085296,,18.12,,,,0.23754999,0.0313,,,45.486,,2.790258955395,,,,5382989824,918,548.15,1508390000,18070000,
AARVEEDEN.NS,Aarvee Denims and Exports Ltd.,Consumer Cyclical,Textile Manufacturing,13.905138,,14.3963995,2.8159215,,7.59,,,,0.08675,-0.03907,,,,,5.12344836993589,,,,2480728320,105.54,21.65,154787000,82662000,
AARVI.NS,Aarvi Encon Limited,Industrials,Staffing & Employment Services,19.306833,,1.7573725,0.4888875,,7.17,,0.092159994,0.037720002,0.26378,0.025409998,2.251,1.543,21.456,,3.59184217541989,,0.0145000005,0.2789,2046548992,184.25,112.95,1133343000,26089000,
AAVAS.NS,Aavas Financiers Limited,Financial Services,Mortgage Finance,24.859543,18.152014,3.2694323,10.743612,,67.28,75.04,0.14104,0.03341,0.9928,0.43280998,236.351,236.351,308.257,,0.304344256526941,,,,132371963904,1978.95,1307,5148610000,1479050000,
ABAN.NS,Aban Offshore Limited,Energy,Oil & Gas Drilling,,1.2671452,,0.7691252,,-174.75,50.16,,,0.89238,-2.53409,,,,,-0.0202061765938418,,,,3709698560,93.35,48.75,1152000000,-1153100000,
ABB.NS,ABB India Limited,Industrials,Specialty Industrial Machinery,87.438126,71.31756,23.25283,12.738707,,79.59,97.17,,,0.40654,0.14523,,,0.747,,1.82613170099304,,0.005,0.4326,1475252977664,9149.95,4340.3,28885900000,4404500000,
