Company_Name,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
20 Microns Limited,13.653001,2.1135414,34.138,0.16825001,0.09557
Twentyfirst Century Management Services Limited,1.5952004,0.9956386,89.8259119818285,0.96726996,0.53249
360 One Wam Limited,49.82619,11.503574,278.92,0.25745,0.09399
3i Infotech Limited,65.54656602500884,1.7573633,27.58,-0.40056,-0.0655
3M India Limited,57.545486,16.09626,0.847,0.1455187390610315,0.0520307211637942
3P Land Holdings Ltd,65.54656602500884,7.785872018563158,89.8259119818285,0.1455187390610315,0.0520307211637942
5paisa Capital Limited,24.451094,2.546023,29.297,0.1168,0.03162
63 moons technologies limited,60.12909,1.3144093,0.179,0.1455187390610315,0.0520307211637942
A2Z Infra Engineering Limited,143.25,12.545156,948.741,0.1455187390610315,0.0520307211637942
AAA Technologies Limited,37.402176,4.7364078,89.8259119818285,0.1455187390610315,0.0520307211637942
,26.336634,3.1053002,248.777,0.16816,0.043319996
Aakash Exploration Services Limited,1.7197345,1.7941176,44.387,0.1455187390610315,0.0520307211637942
Aarey Drugs & Pharmaceuticals Limited,25.57522,1.2212901,23.613,0.1455187390610315,0.0520307211637942
Aaron Industries Limited,57.024673,10.8186245,89.772,0.20387,0.097720005
Aartech Solonics Limited,87.32608,8.6424265,14.219,0.1455187390610315,0.0520307211637942
Aarti Drugs Limited,25.561255,3.0262651,46.181,0.12241,0.061680004
Aarti Industries Limited,33.346905,2.7167964,71.339,0.08507,0.041500002
Aarti Pharmalabs Limited,22.980541,2.8230686,20.815,0.12981,0.07967
Aarti Surfactants Limited,35.121414,2.4733486,45.486,0.1455187390610315,0.0520307211637942
Aarvee Denims and Exports Ltd.,13.905138,14.3963995,89.8259119818285,0.1455187390610315,0.0520307211637942
Aarvi Encon Limited,19.306833,1.7573725,21.456,0.092159994,0.037720002
Aavas Financiers Limited,24.859543,3.2694323,308.257,0.14104,0.03341
Aban Offshore Limited,65.54656602500884,7.785872018563158,89.8259119818285,0.1455187390610315,0.0520307211637942
ABB India Limited,87.438126,23.25283,0.747,0.1455187390610315,0.0520307211637942
Abbott India Limited,47.234093,17.235289,1.718,0.38752997,0.19217
Aditya Birla Capital Limited,13.052521,1.6930077,399.158,0.13519,0.01676
,3390.0,8.074793,51.119,0.1455187390610315,0.0520307211637942
Aditya Birla Fashion and Retail Limited,65.54656602500884,7.065776,243.78,-0.21198,-0.00635
,52.312138,4.668799,54.339,0.10481,0.06249
ABM International Limited,65.54656602500884,3.9774528,67.646,0.1455187390610315,0.0520307211637942
Aditya Birla Real Estate Limited,102.366234,7.1535006,115.735,0.07557,0.02319
Aditya Birla Sun Life AMC Limited,25.500162,6.9615126,2.294,0.29804,0.22086
ACC Limited,19.39173,2.3766723,2.735,0.12945,0.051820002
Accelya Solutions India Limited,23.569294,7.90643,11.826,0.1455187390610315,0.0520307211637942
Accuracy Shipping Limited,17.333332,1.3539903,98.92,0.00429,0.02587
Action Construction Equipment Limited,48.59538,12.83322,8.237,0.30079,0.12332
Ace Integrated Solutions Limited,77.875,1.6696147,2.2,0.03263,0.00922
Archean Chemical Industries Limited,37.094784,4.624076,8.602,0.1319,0.09486
Andhra Cements Limited,65.54656602500884,3.1822057,293.077,-0.34233,-0.046490002
Allcargo Gati Limited,65.10219,1.11567,28.116,0.0119,-0.0070599997
,65.54656602500884,4.6370564,497.018,0.1455187390610315,0.0520307211637942
Adani Energy Solutions Limited,157.4949,4.4266987,178.762,0.01798,0.05224
Adani Enterprises Limited,50.37583,6.9996796,168.936,0.1364,0.03809
Adani Green Energy Limited,163.9699,17.308496,306.013,0.11395001,0.04514
Adani Ports and Special Economic Zone Limited,25.074692,4.502133,85.449,0.17819999,0.06685
Adani Power Limited,16.172602,3.6561043,65.013,0.25756,0.10594
ADF Foods Limited,43.727524,7.500949,11.537,0.17274,0.10297
Archidply Decor Limited,172.73215,1.0608919,43.355,0.1455187390610315,0.0520307211637942
Ador Welding Limited,32.529415,4.25407,12.145,0.1455187390610315,0.0520307211637942
Adroit Infotech Limited,15.651164,0.89877135,28.292,0.1162,0.05396
Allied Digital Services Limited,30.314861,2.5757916,10.869,0.07776,0.05303
Advani Hotels & Resorts (India) Limited,27.62903,8.810595,2.748,0.1455187390610315,0.0520307211637942
Advanced Enzyme Technologies Limited,29.138071,2.968694,3.378,0.10474,0.07001
,48.11747,6.799493,92.2,0.15681,0.06091
Aeroflex Industries Limited,57.382023,8.330139,0.233,0.15298,0.09717
Aether Industries Limited,143.29805,5.466502,10.142,0.03867,0.02558
,43.086674,4.993178,93.718,0.1455187390610315,0.0520307211637942
Affle (India) Limited,72.582016,9.3238325,4.998,0.15991001,0.0726
,24.212042,1.1788023,57.139,0.1455187390610315,0.0520307211637942
