Ticker,Company Name,Sector,Industry,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
20MICRONS.NS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,13.653001,2.1135414,34.138,0.16825001,0.09557
21STCENMGM.NS,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,1.5952004,0.9956386,,0.96726996,0.53249
360ONE.NS,360 One Wam Limited,Financial Services,Asset Management,49.82619,11.503574,278.92,0.25745,0.09399
3IINFOLTD.NS,3i Infotech Limited,Technology,Information Technology Services,,1.7573633,27.58,-0.40056,-0.0655
3MINDIA.NS,3M India Limited,Industrials,Conglomerates,57.545486,16.09626,0.847,,
3PLAND.NS,3P Land Holdings Ltd,,,,,,,
5PAISA.NS,5paisa Capital Limited,Financial Services,Capital Markets,24.451094,2.546023,29.297,0.1168,0.03162
63MOONS.NS,63 moons technologies limited,Technology,Software - Application,60.12909,1.3144093,0.179,,
A2ZINFRA.NS,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,143.25,12.545156,948.741,,
AAATECH.NS,AAA Technologies Limited,Technology,Information Technology Services,37.402176,4.7364078,,,
AADHARHFC.NS,,Financial Services,Mortgage Finance,26.336634,3.1053002,248.777,0.16816,0.043319996
AAKASH.NS,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services,1.7197345,1.7941176,44.387,,
AAREYDRUGS.NS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,25.57522,1.2212901,23.613,,
AARON.NS,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,57.024673,10.8186245,89.772,0.20387,0.097720005
AARTECH.NS,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts,87.32608,8.6424265,14.219,,
AARTIDRUGS.NS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,25.561255,3.0262651,46.181,0.12241,0.061680004
AARTIIND.NS,Aarti Industries Limited,Basic Materials,Specialty Chemicals,33.346905,2.7167964,71.339,0.08507,0.041500002
AARTIPHARM.NS,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,22.980541,2.8230686,20.815,0.12981,0.07967
AARTISURF.NS,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,35.121414,2.4733486,45.486,,
AARVEEDEN.NS,Aarvee Denims and Exports Ltd.,Consumer Cyclical,Textile Manufacturing,13.905138,14.3963995,,,
AARVI.NS,Aarvi Encon Limited,Industrials,Staffing & Employment Services,19.306833,1.7573725,21.456,0.092159994,0.037720002
AAVAS.NS,Aavas Financiers Limited,Financial Services,Mortgage Finance,24.859543,3.2694323,308.257,0.14104,0.03341
ABAN.NS,Aban Offshore Limited,Energy,Oil & Gas Drilling,,,,,
ABB.NS,ABB India Limited,Industrials,Specialty Industrial Machinery,87.438126,23.25283,0.747,,
ABBOTINDIA.NS,Abbott India Limited,Healthcare,Drug Manufacturers - General,47.234093,17.235289,1.718,0.38752997,0.19217
ABCAPITAL.NS,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,13.052521,1.6930077,399.158,0.13519,0.01676
ABDL.NS,,Consumer Defensive,Beverages - Wineries & Distilleries,3390.0,8.074793,51.119,,
ABFRL.NS,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,,7.065776,243.78,-0.21198,-0.00635
ABINFRA.NS,,Industrials,Engineering & Construction,52.312138,4.668799,54.339,0.10481,0.06249
ABMINTLLTD.NS,ABM International Limited,Basic Materials,Specialty Chemicals,,3.9774528,67.646,,
ABREL.NS,Aditya Birla Real Estate Limited,Basic Materials,Paper & Paper Products,102.366234,7.1535006,115.735,0.07557,0.02319
ABSLAMC.NS,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,25.500162,6.9615126,2.294,0.29804,0.22086
ACC.NS,ACC Limited,Basic Materials,Building Materials,19.39173,2.3766723,2.735,0.12945,0.051820002
ACCELYA.NS,Accelya Solutions India Limited,Technology,Information Technology Services,23.569294,7.90643,11.826,,
ACCURACY.NS,Accuracy Shipping Limited,Industrials,Integrated Freight & Logistics,17.333332,1.3539903,98.92,0.00429,0.02587
ACE.NS,Action Construction Equipment Limited,Industrials,Farm & Heavy Construction Machinery,48.59538,12.83322,8.237,0.30079,0.12332
ACEINTEG.NS,Ace Integrated Solutions Limited,Industrials,Staffing & Employment Services,77.875,1.6696147,2.2,0.03263,0.00922
ACI.NS,Archean Chemical Industries Limited,Basic Materials,Chemicals,37.094784,4.624076,8.602,0.1319,0.09486
ACL.NS,Andhra Cements Limited,Basic Materials,Building Materials,,3.1822057,293.077,-0.34233,-0.046490002
ACLGATI.NS,Allcargo Gati Limited,Industrials,Integrated Freight & Logistics,65.10219,1.11567,28.116,0.0119,-0.0070599997
