Company_Name,P/E Ratio,P/B Ratio,Debt-to-Equity Ratio,ROE,ROA
20 Microns Limited,13.653001,2.1135414,34.138,16.825001,9.557
Twentyfirst Century Management Services Limited,1.5952004,0.9956386,89.8259119818285,96.726996,53.249
360 One Wam Limited,49.82619,11.503574,278.92,25.745,9.399000000000001
3i Infotech Limited,65.54656602500884,1.7573633,27.58,-40.056000000000004,-6.550000000000001
3M India Limited,57.545486,16.09626,0.847,14.551873906103149,5.2030721163794205
3P Land Holdings Ltd,65.54656602500884,7.785872018563158,89.8259119818285,14.551873906103149,5.2030721163794205
5paisa Capital Limited,24.451094,2.546023,29.297,11.68,3.1620000000000004
63 moons technologies limited,60.12909,1.3144093,0.179,14.551873906103149,5.2030721163794205
A2Z Infra Engineering Limited,143.25,12.545156,948.741,14.551873906103149,5.2030721163794205
AAA Technologies Limited,37.402176,4.7364078,89.8259119818285,14.551873906103149,5.2030721163794205
,26.336634,3.1053002,248.777,16.816,4.3319996
Aakash Exploration Services Limited,1.7197345,1.7941176,44.387,14.551873906103149,5.2030721163794205
Aarey Drugs & Pharmaceuticals Limited,25.57522,1.2212901,23.613,14.551873906103149,5.2030721163794205
Aaron Industries Limited,57.024673,10.8186245,89.772,20.387,9.7720005
Aartech Solonics Limited,87.32608,8.6424265,14.219,14.551873906103149,5.2030721163794205
Aarti Drugs Limited,25.561255,3.0262651,46.181,12.241,6.1680003999999995
Aarti Industries Limited,33.346905,2.7167964,71.339,8.507000000000001,4.1500002
Aarti Pharmalabs Limited,22.980541,2.8230686,20.815,12.981000000000002,7.9670000000000005
Aarti Surfactants Limited,35.121414,2.4733486,45.486,14.551873906103149,5.2030721163794205
Aarvee Denims and Exports Ltd.,13.905138,14.3963995,89.8259119818285,14.551873906103149,5.2030721163794205
Aarvi Encon Limited,19.306833,1.7573725,21.456,9.2159994,3.7720002000000004
Aavas Financiers Limited,24.859543,3.2694323,308.257,14.104,3.341
Aban Offshore Limited,65.54656602500884,7.785872018563158,89.8259119818285,14.551873906103149,5.2030721163794205
ABB India Limited,87.438126,23.25283,0.747,14.551873906103149,5.2030721163794205
Abbott India Limited,47.234093,17.235289,1.718,38.752997,19.217000000000002
Aditya Birla Capital Limited,13.052521,1.6930077,399.158,13.519,1.6760000000000002
,3390.0,8.074793,51.119,14.551873906103149,5.2030721163794205
Aditya Birla Fashion and Retail Limited,65.54656602500884,7.065776,243.78,-21.198,-0.635
,52.312138,4.668799,54.339,10.481,6.249
ABM International Limited,65.54656602500884,3.9774528,67.646,14.551873906103149,5.2030721163794205
Aditya Birla Real Estate Limited,102.366234,7.1535006,115.735,7.5569999999999995,2.319
Aditya Birla Sun Life AMC Limited,25.500162,6.9615126,2.294,29.804000000000002,22.086
ACC Limited,19.39173,2.3766723,2.735,12.945,5.1820002
Accelya Solutions India Limited,23.569294,7.90643,11.826,14.551873906103149,5.2030721163794205
Accuracy Shipping Limited,17.333332,1.3539903,98.92,0.42900000000000005,2.587
Action Construction Equipment Limited,48.59538,12.83322,8.237,30.079,12.332
Ace Integrated Solutions Limited,77.875,1.6696147,2.2,3.263,0.922
Archean Chemical Industries Limited,37.094784,4.624076,8.602,13.19,9.486
Andhra Cements Limited,65.54656602500884,3.1822057,293.077,-34.233000000000004,-4.649000200000001
Allcargo Gati Limited,65.10219,1.11567,28.116,1.1900000000000002,-0.7059999699999999
,65.54656602500884,4.6370564,497.018,14.551873906103149,5.2030721163794205
Adani Energy Solutions Limited,157.4949,4.4266987,178.762,1.798,5.224
Adani Enterprises Limited,50.37583,6.9996796,168.936,13.639999999999999,3.8089999999999997
Adani Green Energy Limited,163.9699,17.308496,306.013,11.395001,4.514
Adani Ports and Special Economic Zone Limited,25.074692,4.502133,85.449,17.819999,6.6850000000000005
Adani Power Limited,16.172602,3.6561043,65.013,25.756,10.594000000000001
ADF Foods Limited,43.727524,7.500949,11.537,17.274,10.297
Archidply Decor Limited,172.73215,1.0608919,43.355,14.551873906103149,5.2030721163794205
Ador Welding Limited,32.529415,4.25407,12.145,14.551873906103149,5.2030721163794205
Adroit Infotech Limited,15.651164,0.89877135,28.292,11.62,5.396
Allied Digital Services Limited,30.314861,2.5757916,10.869,7.776,5.303
Advani Hotels & Resorts (India) Limited,27.62903,8.810595,2.748,14.551873906103149,5.2030721163794205
Advanced Enzyme Technologies Limited,29.138071,2.968694,3.378,10.474,7.001
,48.11747,6.799493,92.2,15.681000000000001,6.091
Aeroflex Industries Limited,57.382023,8.330139,0.233,15.298,9.717
Aether Industries Limited,143.29805,5.466502,10.142,3.8670000000000004,2.558
,43.086674,4.993178,93.718,14.551873906103149,5.2030721163794205
Affle (India) Limited,72.582016,9.3238325,4.998,15.991000999999999,7.26
,24.212042,1.1788023,57.139,14.551873906103149,5.2030721163794205
Agarwal Industrial Corporation Limited,15.739457,3.7911248,70.608,14.551873906103149,5.2030721163794205
AGI Greenpac Limited,28.715185,4.0140905,31.717,14.814,7.8759999999999994
AGI Infra Limited,39.68594,9.929793,61.287,14.551873906103149,5.2030721163794205
Agri-tech (India) Limited,12.402859,7.785872018563158,89.8259119818285,14.551873906103149,5.2030721163794205
Agro Phos (India) Limited,65.54656602500884,1.7989329,1.383,14.551873906103149,5.2030721163794205
AGS Transact Technologies Limited,94.11268,1.5168438,199.958,1.8159999999999998,2.585
Abans Holdings Limited,14.187856,1.4728699,91.775,14.551873906103149,5.2030721163794205
Ahlada Engineers Limited,9.080492,0.9010524,31.217,14.551873906103149,5.2030721163794205
Asian Hotels (East) Limited,12.483541,1.264711,134.508,10.699,6.2140003
