Question,Answer
What is a stock market?,"A stock market is a marketplace where securities, such as stocks, bonds, and other financial instruments, are bought and sold."
What is a stock exchange?,"A stock exchange is a regulated marketplace where financial securities like stocks are listed and traded, such as the NYSE or NASDAQ."
What is a stock?,"A stock represents ownership in a company, and owning a stock entitles you to a portion of the company's profits and assets."
What is a stockbroker?,A stockbroker is a licensed professional who buys and sells stocks and other securities on behalf of investors.
What is the difference between a bull market and a bear market?,"A bull market refers to a period of rising stock prices, while a bear market refers to a period of falling stock prices."
What is a stock index?,"A stock index is a measurement of the performance of a specific group of stocks, such as the S&P 500 or Dow Jones Industrial Average."
What is the role of the Securities and Exchange Commission (SEC)?,The SEC regulates the U.S. securities markets to ensure fair and efficient markets and protect investors from fraud.
What does it mean to 'buy a share' of stock?,"Buying a share of stock means purchasing a small ownership stake in a company, entitling you to dividends and a claim on its assets."
What is a dividend?,"A dividend is a portion of a company's earnings paid out to shareholders, usually in cash or additional shares."
What is market capitalization?,"Market capitalization is the total market value of a company's outstanding shares, calculated by multiplying the share price by the total number of shares."
What are major stock exchanges in the world?,"Major stock exchanges include the New York Stock Exchange (NYSE), NASDAQ, London Stock Exchange (LSE), and Tokyo Stock Exchange (TSE)."
What is a limit order?,A limit order is an order to buy or sell a stock at a specific price or better.
What is a market order?,A market order is an order to buy or sell a stock immediately at the best available current price.
What is a stop-loss order?,"A stop-loss order is an order placed to sell a security when it reaches a certain price, limiting an investorâ€™s potential loss."
What does 'liquidity' mean in the stock market?,Liquidity refers to how easily an asset can be bought or sold in the market without affecting its price.
What is the bid-ask spread?,The bid-ask spread is the difference between the price a buyer is willing to pay for a stock (the bid) and the price a seller is willing to accept (the ask).
What is the P/E ratio?,The Price-to-Earnings (P/E) ratio is a valuation ratio calculated by dividing the market price per share by the earnings per share (EPS).
What is earnings per share (EPS)?,Earnings per share (EPS) is a company's profit divided by the number of outstanding shares of its common stock.
What is a blue-chip stock?,"A blue-chip stock refers to shares in a large, well-established, and financially stable company, often with a history of reliable earnings and dividends."
What are growth stocks?,Growth stocks are shares in companies expected to grow at an above-average rate compared to other companies in the market.
What are value stocks?,Value stocks are shares in companies that appear to be undervalued relative to their financial performance and fundamentals.
What is short selling?,"Short selling is the practice of borrowing shares to sell at the current price, hoping to buy them back at a lower price to profit from the decline."
What is margin trading?,"Margin trading is the practice of borrowing money from a broker to buy securities, amplifying both potential profits and losses."
What is the difference between common and preferred stock?,"Common stock provides ownership in a company and voting rights, while preferred stock provides no voting rights but a higher claim on dividends and assets."
What is the purpose of a market index like the S&P 500?,A market index like the S&P 500 provides a snapshot of the overall performance of the stock market by tracking a specific set of stocks.
What is a stock split?,"A stock split is when a company increases the number of shares in circulation by issuing more shares to existing shareholders, often to reduce the stock price."
What is an IPO (Initial Public Offering)?,"An IPO is the first sale of a company's stock to the public, allowing it to raise capital and become publicly traded."
What are economic indicators?,"Economic indicators are statistics that provide insights into the health of the economy, such as GDP, unemployment rates, and inflation."
What is GDP (Gross Domestic Product)?,"GDP is the total value of all goods and services produced by a country in a given period, indicating the size and health of an economy."
What is inflation?,"Inflation is the rate at which the general level of prices for goods and services rises, leading to a decrease in purchasing power."
How does inflation affect the stock market?,"Inflation can lead to higher costs for companies, reducing profits, which may negatively affect stock prices."
